A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,A,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,B,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,B,A,B,B,A
A,A,A,B,A,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,A,A
A,A,A,B,B,A
A,B,A,B,A,A
A,B,A,B,A,A
A,A,A,B,B,A
A,A,A,B,B,A
A,A,A,B,A,A
A,B,A,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,B,B,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,B,B,B,A,A
A,A,B,B,B,A
A,A,B,B,B,A
A,B,B,B,A,A
A,A,B,B,B,A
A,A,B,B,A,A
A,B,B,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,B,B,B,A,A
A,B,B,B,B,A
A,B,B,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,B,B,B,B,A
A,A,B,B,B,A
A,A,B,B,A,A
A,A,B,B,A,A
A,A,B,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,A,B,B,A,A
D,A,B,B,B,A
A,A,B,B,B,A
A,A,B,B,B,A
A,B,B,B,A,A
A,A,B,B,B,A
A,B,B,B,B,A
A,B,B,B,B,A
A,A,B,B,B,A
D,A,B,B,B,A
A,A,B,B,A,A
A,B,B,A,A,A
D,A,B,B,A,A
A,A,B,B,B,A
A,A,B,A,B,A
A,B,B,B,B,A
A,A,B,B,B,A
A,A,C,B,B,A
A,A,C,B,A,B
A,B,C,B,B,B
A,B,C,B,B,B
A,A,C,B,B,B
D,A,C,B,B,B
A,B,C,B,B,B
A,A,C,B,B,B
A,A,C,B,B,B
A,B,C,B,B,B
A,A,C,B,B,B
A,A,C,B,B,B
A,B,C,B,A,B
A,B,C,B,A,B
A,B,C,B,B,B
A,A,C,B,B,B
B,A,C,B,A,B
D,B,C,B,B,B
A,A,C,A,B,B
B,A,C,B,B,B
D,B,C,A,B,B
D,B,C,B,B,B
A,A,C,B,B,B
A,A,C,A,B,B
A,A,C,B,B,B
B,B,C,B,B,B
A,A,C,A,B,B
A,A,C,B,B,B
A,A,C,B,B,B
A,A,C,B,B,B
A,A,C,B,B,B
A,A,C,B,B,B
B,B,C,B,B,B
A,A,C,B,B,B
A,B,C,B,A,B
B,B,C,B,B,B
B,B,C,A,B,B
A,B,C,B,B,B
A,B,C,B,A,B
B,A,C,B,B,B
B,A,C,B,B,B
B,A,C,B,B,B
A,A,C,A,B,B
B,A,C,B,B,B
B,A,C,B,A,B
A,A,C,B,B,B
A,A,C,A,B,B
B,A,C,B,B,B
A,A,C,B,B,B
A,B,C,B,B,B
D,A,C,B,B,B
B,B,C,B,B,B
A,A,C,B,B,B
B,A,C,B,B,B
B,B,C,B,B,B
B,B,C,B,B,B
A,A,C,B,A,B
A,A,C,B,B,B
A,A,C,A,B,B
D,A,C,B,B,B
B,D,C,B,B,B
B,A,C,A,A,B
A,A,C,B,B,B
A,A,C,B,A,B
A,A,C,B,B,B
B,A,C,B,B,B
B,A,C,B,B,B
A,B,C,B,A,B
B,A,C,B,B,B
D,A,C,B,B,B
B,B,C,B,A,B
A,B,C,B,B,B
A,B,C,B,B,B
A,A,C,B,B,B
B,B,C,B,B,B
B,B,C,B,A,B
B,A,C,B,B,B
B,A,C,A,B,B
B,A,C,B,A,B
B,A,C,A,B,B
B,B,C,B,B,B
A,B,C,B,B,B
B,A,C,B,B,B
A,B,C,B,B,B
B,B,C,B,A,B
A,A,C,B,B,C
A,A,C,B,B,C
B,B,C,B,B,C
B,A,C,B,B,C
B,B,C,B,B,C
A,A,C,B,B,C
B,A,C,B,B,C
A,B,C,B,B,C
B,B,C,B,B,C
B,A,C,A,B,C
A,A,C,A,B,C
A,A,C,B,B,C
A,B,D,B,B,C
B,A,D,A,B,C
A,B,D,B,B,C
B,B,D,A,B,C
B,A,D,B,B,C
B,B,D,B,B,C
B,A,D,B,A,C
A,A,D,B,B,C
A,A,D,B,B,C
B,B,D,B,B,C
A,B,D,B,A,C
A,A,D,B,B,C
B,B,D,B,B,C
B,A,D,B,B,C
A,A,D,B,B,C
B,A,D,B,B,C
B,B,D,B,B,C
A,B,D,A,B,C
A,B,D,B,A,C
B,A,D,B,A,C
B,B,D,B,B,C
B,B,D,B,B,C
B,A,D,B,B,C
